Y,X1,X2,X3,X4,X5,X6
25.6,0.946756182,0.354275558,0.794431738,-0.296903865,-0.892397927,0.121654351
24.9,0.946756182,0.354275558,0.794431738,-0.881811097,-0.892397927,0.121654351
25.6,0.946756182,0.354275558,0.794431738,-1.466718328,-0.892397927,0.121654351
26.0,0.946756182,0.354275558,0.65017565,1.457817829,-0.892397927,0.121654351
25.8,0.946756182,0.354275558,0.65017565,0.872910598,-0.892397927,0.121654351
25.8,0.946756182,0.354275558,0.65017565,0.288003366,-0.892397927,0.121654351
24.0,0.946756182,0.354275558,0.65017565,-0.296903865,-0.892397927,0.121654351
25.7,0.946756182,0.354275558,0.65017565,-0.881811097,-0.892397927,0.121654351
25.9,0.946756182,0.354275558,0.65017565,-1.466718328,-0.892397927,0.121654351
26.1,0.946756182,0.354275558,0.505919561,1.457817829,-0.892397927,0.121654351
25.7,0.946756182,0.354275558,0.505919561,0.872910598,-0.892397927,0.121654351
25.6,0.946756182,0.354275558,0.505919561,0.288003366,-0.892397927,0.121654351
25.9,0.946756182,0.354275558,0.505919561,-0.296903865,-0.892397927,0.121654351
26.0,0.946756182,0.354275558,0.505919561,-0.881811097,-0.892397927,0.121654351
25.4,0.946756182,0.354275558,0.505919561,-1.466718328,-0.892397927,0.121654351
25.4,0.946756182,0.354275558,0.361663473,1.457817829,-0.892397927,0.121654351
25.8,0.946756182,0.354275558,0.361663473,0.872910598,-0.892397927,0.121654351
24.2,0.946756182,0.354275558,0.361663473,0.288003366,-0.892397927,0.121654351
24.5,0.946756182,0.354275558,0.361663473,-0.296903865,-0.892397927,0.121654351
23.6,0.946756182,0.354275558,0.361663473,-0.881811097,-0.892397927,0.121654351
23.0,0.946756182,0.354275558,0.361663473,-1.466718328,-0.892397927,0.121654351
22.8,0.946756182,0.354275558,0.217407384,1.457817829,-0.892397927,0.121654351
22.4,0.946756182,0.354275558,0.217407384,0.872910598,-0.892397927,0.121654351
21.0,0.946756182,0.354275558,0.217407384,0.288003366,-0.892397927,0.121654351
15.4,0.946756182,0.354275558,0.217407384,-0.296903865,-0.892397927,0.121654351
21.0,0.946756182,0.354275558,0.217407384,-0.881811097,-0.892397927,0.121654351
23.3,0.946756182,0.354275558,0.217407384,-1.466718328,-0.892397927,0.121654351
22.9,0.946756182,0.354275558,0.073151296,1.457817829,-0.892397927,0.121654351
22.5,0.946756182,0.354275558,0.073151296,0.872910598,-0.892397927,0.121654351
22.8,0.946756182,0.354275558,0.073151296,0.288003366,-0.892397927,0.121654351
20.2,0.946756182,0.354275558,0.073151296,-0.296903865,-0.892397927,0.121654351
19.3,0.946756182,0.354275558,0.073151296,-0.881811097,-0.892397927,0.121654351
21.7,0.946756182,0.354275558,0.073151296,-1.466718328,-0.892397927,0.121654351
21.6,0.946756182,0.354275558,-0.071104792,1.457817829,-0.892397927,0.121654351
21.0,0.946756182,0.354275558,-0.071104792,0.872910598,-0.892397927,0.121654351
20.9,0.946756182,0.354275558,-0.071104792,0.288003366,-0.892397927,0.121654351
20.6,0.946756182,0.354275558,-0.071104792,-0.296903865,-0.892397927,0.121654351
21.1,0.946756182,0.354275558,-0.071104792,-0.881811097,-0.892397927,0.121654351
20.1,0.946756182,0.354275558,-0.071104792,-1.466718328,-0.892397927,0.121654351
20.1,0.946756182,0.354275558,-0.215360881,1.457817829,-0.892397927,0.121654351
20.7,0.946756182,0.354275558,-0.215360881,0.872910598,-0.892397927,0.121654351
18.8,0.946756182,0.354275558,-0.215360881,0.288003366,-0.892397927,0.121654351
19.8,0.946756182,0.354275558,-0.215360881,-0.296903865,-0.892397927,0.121654351
19.0,0.946756182,0.354275558,-0.215360881,-0.881811097,-0.892397927,0.121654351
17.7,0.946756182,0.354275558,-0.215360881,-1.466718328,-0.892397927,0.121654351
17.6,0.946756182,0.354275558,-0.359616969,1.457817829,-0.892397927,0.121654351
17.2,0.946756182,0.354275558,-0.359616969,0.872910598,-0.892397927,0.121654351
16.4,0.946756182,0.354275558,-0.359616969,0.288003366,-0.892397927,0.121654351
16.0,0.946756182,0.354275558,-0.359616969,-0.296903865,-0.892397927,0.121654351
15.3,0.946756182,0.354275558,-0.359616969,-0.881811097,-0.892397927,0.121654351
14.9,0.946756182,0.354275558,-0.359616969,-1.466718328,-0.892397927,0.121654351
